Id,Pk,Label,Title,Year:int,Minutes:int
tt0081139,tt0081139,Movie,Mater amatísima,1980,110
tt0081144,tt0081144,Movie,McVicar,1980,112
tt0081148,tt0081148,Movie,Alexander the Great,1980,210
tt0081159,tt0081159,Movie,Midnight Madness,1980,112
tt0081160,tt0081160,Movie,Milka - A Film About Taboos,1980,110
tt0081163,tt0081163,Movie,The Mirror Crack'd,1980,105
tt0081165,tt0081165,Movie,The Mystery of Oberwald,1980,129
tt0081168,tt0081168,Movie,Return of the Sentimental Swordsman,1981,101
tt0081169,tt0081169,Movie,Model,1981,129
tt0081176,tt0081176,Movie,My American Uncle,1980,125
tt0081181,tt0081181,Movie,Morir de miedo,1980,107
tt0081182,tt0081182,Movie,Death Watch,1980,130
tt0081183,tt0081183,Movie,Mosch,1980,105
tt0081184,tt0081184,Movie,Motel Hell,1980,101
tt0081187,tt0081187,Movie,The Mountain Men,1980,102
tt0081188,tt0081188,Movie,The Mouse and the Woman,1980,105
tt0081211,tt0081211,Movie,A mérközés,1981,105
tt0081214,tt0081214,Movie,The Highway of Life,1980,100
tt0081219,tt0081219,Movie,The Naxalites,1980,141
tt0081228,tt0081228,Movie,Night Games,1980,100
tt0081230,tt0081230,Movie,Night of the Juggler,1980,101
tt0081232,tt0081232,Movie,Nightkill,1980,104
tt0081235,tt0081235,Movie,Nijinsky,1980,129
tt0081237,tt0081237,Movie,The Ninth Configuration,1980,118
tt0081242,tt0081242,Movie,No Nukes,1980,103
tt0081254,tt0081254,Movie,Narcissus and Psyche,1980,261
tt0081259,tt0081259,Movie,The Octagon,1980,103
tt0081265,tt0081265,Movie,The Offenders,1980,100
tt0081266,tt0081266,Movie,Oficio de tinieblas,1981,105
tt0081269,tt0081269,Movie,Oh Heavenly Dog,1980,103
tt0081270,tt0081270,Movie,Ojciec królowej,1980,106
tt0081276,tt0081276,Movie,On a volé la cuisse de Jupiter,1980,100
tt0081283,tt0081283,Movie,Ordinary People,1980,124
tt0081287,tt0081287,Movie,Othello,1980,115
tt0081288,tt0081288,Movie,Tora-san's Tropical Fever,1980,104
tt0081292,tt0081292,Movie,Oxalá,1980,131
tt0081295,tt0081295,Movie,Paciorki jednego rózanca,1980,106
tt0081299,tt0081299,Movie,Palermo or Wolfsburg,1980,173
tt0081301,tt0081301,Movie,Panic Time,1980,101
tt0081312,tt0081312,Movie,Confusion,1981,107
tt0081315,tt0081315,Movie,Patricia,1981,101
tt0081330,tt0081330,Movie,La petite sirène,1980,105
tt0081339,tt0081339,Movie,Pile ou face,1980,105
tt0081353,tt0081353,Movie,Popeye,1980,114
tt0081356,tt0081356,Movie,Pornovideo,1981,103
tt0081375,tt0081375,Movie,Private Benjamin,1980,109
tt0081379,tt0081379,Movie,Microphone Test,1980,104
tt0081385,tt0081385,Movie,La provinciale,1980,107
tt0081388,tt0081388,Movie,Pugovitsa,1981,101
tt0081394,tt0081394,Movie,La quinta del porro,1981,107
tt0081398,tt0081398,Movie,Raging Bull,1980,129
tt0081400,tt0081400,Movie,Raise the Titanic,1980,115
tt0081401,tt0081401,Movie,Ram Balram,1980,169
tt0081405,tt0081405,Movie,The Rebel,1980,105
tt0081407,tt0081407,Movie,El regreso de Sabina,1980,105
tt0081408,tt0081408,Movie,Purity of Heart,1980,104
tt0081414,tt0081414,Movie,Resurrection,1980,103
tt0081416,tt0081416,Movie,Return to Marseilles,1980,117
tt0081427,tt0081427,Movie,Ricomincio da tre,1981,110
tt0081430,tt0081430,Movie,Amin: The Rise and Fall,1981,101
tt0081433,tt0081433,Movie,Roadie,1980,106
tt0081439,tt0081439,Movie,Rough Cut,1980,112
tt0081441,tt0081441,Movie,Rude Boy,1980,133
tt0081447,tt0081447,Movie,S.H.E: Security Hazards Expert,1980,100
tt0081453,tt0081453,Movie,Satah Se Uthata Aadmi,1980,114
tt0081455,tt0081455,Movie,Scanners,1981,103
tt0081470,tt0081470,Movie,The Sea Wolves,1980,120
tt0081480,tt0081480,Movie,Seems Like Old Times,1980,102
tt0081486,tt0081486,Movie,Seuls,1981,100
tt0081491,tt0081491,Movie,Shaan,1980,181
tt0081499,tt0081499,Movie,The Young Master,1980,105
tt0081503,tt0081503,Movie,Shiki Natsuko,1980,120
tt0081505,tt0081505,Movie,The Shining,1980,146
tt0081517,tt0081517,Movie,Silver Dream Racer,1980,111
tt0081521,tt0081521,Movie,Sista varningen!,1980,121
tt0081528,tt0081528,Movie,A Small Circle of Friends,1980,113
tt0081529,tt0081529,Movie,Smokey and the Bandit II,1980,101
tt0081534,tt0081534,Movie,Somewhere in Time,1980,103
tt0081536,tt0081536,Movie,I'm Photogenic,1980,114
tt0081542,tt0081542,Movie,As Far as the Eye Sees,1980,138
tt0081544,tt0081544,Movie,Spasatel,1980,101
tt0081547,tt0081547,Movie,Spetters,1980,120
tt0081549,tt0081549,Movie,The Medusa Raft,1980,101
tt0081550,tt0081550,Movie,Spotkanie na Atlantyku,1980,120
tt0081555,tt0081555,Movie,Stark System,1980,106
tt0081557,tt0081557,Movie,Staryy novyy god,1981,138
tt0081561,tt0081561,Movie,Stir,1980,101
tt0081562,tt0081562,Movie,Stir Crazy,1980,111
tt0081568,tt0081568,Movie,The Stunt Man,1980,131
tt0081573,tt0081573,Movie,Superman II,1980,127
tt0081578,tt0081578,Movie,Suzanne,1980,103
tt0081579,tt0081579,Movie,Sverige åt svenskarna,1980,111
tt0081590,tt0081590,Movie,Sällskapsresan eller Finns det svenskt kaffe på grisfesten,1980,107
tt0081591,tt0081591,Movie,Sunday Lovers,1980,125
tt0081605,tt0081605,Movie,Taxi Chor,1980,103
tt0081607,tt0081607,Movie,Pursuit of Death,1980,110
tt0081609,tt0081609,Movie,Assassination Attempt,1981,150
tt0081616,tt0081616,Movie,La terrazza,1980,150
tt0081620,tt0081620,Movie,Theo Against the Rest of the World,1980,106
